date,trip_count,distance_km,avg_temp_c
2026-02-27,2,28.30,1.6
2026-03-02,1,1.25,
2026-03-12,4,13.35,4.7
2026-03-13,14,127.69,6.8
2026-03-14,13,205.72,6.5
2026-03-15,18,141.96,14.6
2026-03-16,15,56.92,11.3
2026-03-17,5,58.44,-3.1
2026-03-18,14,255.85,-2.7
2026-03-19,15,157.65,9.5
2026-03-20,21,418.70,11.8
2026-03-21,15,133.06,12.2
2026-03-22,16,172.99,16.6
2026-03-23,9,107.59,3.3
2026-03-24,9,95.97,5.4
2026-03-25,10,81.89,8.4
2026-03-26,22,204.13,16.1
2026-03-27,8,40.68,8.1
2026-03-28,19,179.54,1.1
2026-03-29,11,110.10,12.6
2026-03-30,16,85.12,14.8
2026-03-31,20,100.59,21.1
2026-04-01,15,79.16,19.3
2026-04-02,20,383.35,20.9
2026-04-03,5,38.02,19.1
2026-04-04,22,100.52,22.7
2026-04-05,22,106.38,18.1
2026-04-06,11,34.54,6.1
2026-04-07,3,11.49,3.0
2026-04-08,11,75.65,4.8
2026-04-10,12,193.40,16.2
2026-04-11,4,7.73,14.3
2026-04-12,1,0.89,
2026-04-16,2,19.87,17.4
2026-04-17,2,2.72,18.8
